word,type_name
accession,noun
accessional,adjective
accessorial,adjective
accessories,noun
accessory,noun
accessory after the fact,noun
accessory before the fact,noun
accessory cephalic vein,noun
accessory during the fact,noun
accessory fruit,noun
accessory hemiazygos vein,noun
accessory nerve,noun
accessory vertebral vein,noun
accident,noun
accident-prone,adjective
accident’,noun
accidental,adjective
accidentally,adverb
accidentals,adjective
accidents,noun
Accipiter,noun
Accipitridae,noun
Accipitriformes,noun
accipitrine,adjective
acclaim,noun
acclaimed,adjective
acclaimed,verb
acclaiming,verb
acclaims,verb
acclaims,noun
acclamation,noun
acclimate,verb
acclimated,verb
acclimating,verb
acclimatisation,noun
acclimatised,verb
acclimatising,verb
acclimatization,noun
acclimatize,verb
acclimatized,verb
acclimatizing,verb
acclivities,noun
acclivitous,adjective
acclivity,noun
accolade,noun
accolades,noun
accommodate,verb
accommodated,verb
accommodates,verb
accommodating,adjective
accommodating,verb
accommodating lens implant,noun
accommodatingly,adverb
accommodation,noun
accommodation endorser,noun
accommodation ladder,noun
accommodation reflex,noun
accommodational,adjective
accommodations,noun
accommodative,adjective
accompanied,verb
accompanies,verb
accompaniment,noun
accompaniments,noun
accompanist,noun
accompany,verb
accompanying,verb
accompanying vein,noun
accompli,noun
accomplice,noun
accomplices,noun
accomplish,verb
accomplishable,adjective
accomplished,verb
accomplished,adjective
accomplishes,verb
accomplishing,verb
accomplishment,noun
accomplishments,noun
accord,noun
accord and satisfaction,noun
accordance,noun
accordances,noun
accordant,adjective
accorded,verb
according,verb
according,noun
according,preposition
accordingly,adverb
accordion,noun
accordionist,noun
accords,noun
accords,verb
accost,verb
accosted,verb
accosting,verb
accosts,verb
account,noun
account for,verb
account payable,noun
accountability,noun
accountable,adjective
accountancy,noun
accountant,noun
accountants,noun
accountantship,noun
accounted,verb
accounted for,verb
accounting,verb
accounting,noun
accounting data,noun
accounting firm,noun
accounting for,verb
accounting principle,noun
accounts,verb
accounts,noun
accounts for,verb
accouter,verb
accoutered,verb
accoutered,adjective
accoutering,verb
accouterments,noun
accoutred,verb
accoutrements,noun
accoutring,verb
Accra,noun
Accra,noun
accredit,verb
accreditation,noun
accredited,adjective
accredited,verb
accrediting,verb
accredits,verb
accrete,verb
accreted,verb
accreting,verb
accretion,noun
accretionary,adjective
accretions,noun
accretive,adjective
accrual basis,noun
accruals,noun
accrue,verb
accrued,verb
accrues,verb
accruing,verb
acculturate,verb
acculturated,verb
acculturating,verb
acculturation,noun
acculturational,adjective
accumbent,adjective
accumulate,verb
accumulated,verb
accumulates,verb
accumulating,verb
accumulation,noun
accumulations,noun
